k,target,num_probes,conv_code,rate,decoder_mode,calibration_ber,authorized_uncoded_ber,authorized_postfec_ber,worst_unauthorized_postfec_ber,avg_unauthorized_postfec_ber,median_unauthorized_postfec_ber,leak_positions_le_0p05,leak_positions_le_0p10,evaluated_unauthorized_positions,status
7,"(11, 13, 22, 23, 24, 25, 28)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.18,0.20476190476190476,0.12781954887218044,0.3496240601503759,0.3700322234156821,0.3721804511278196,0,0,21,ok
7,"(3, 8, 15, 20, 21, 23, 28)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.08571428571428572,0.1,0.011278195488721804,0.34210526315789475,0.3678839957035446,0.3684210526315789,0,0,21,ok
7,"(1, 3, 4, 11, 16, 19, 28)",15,conv_k3_r13,0.31666666666666665,logistic_top2,0.11571428571428571,0.13333333333333333,0.03383458646616541,0.3609022556390978,0.3771929824561403,0.37593984962406013,0,0,21,ok
7,"(1, 8, 9, 13, 14, 24, 26)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.075,0.0880952380952381,0.0037593984962406013,0.35714285714285715,0.3768349445041174,0.37593984962406024,0,0,21,ok
7,"(5, 11, 12, 17, 18, 19, 27)",15,conv_k3_r13,0.31666666666666665,logistic_top2,0.195,0.20357142857142857,0.15789473684210525,0.3458646616541353,0.38095238095238093,0.39097744360902265,0,0,21,ok
7,"(1, 4, 13, 14, 20, 24, 26)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.07214285714285715,0.0880952380952381,0.0037593984962406013,0.3533834586466165,0.3746867167919799,0.3684210526315789,0,0,21,ok
7,"(7, 10, 11, 16, 20, 21, 26)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.1442857142857143,0.1630952380952381,0.13157894736842105,0.3195488721804511,0.3626924453992123,0.3609022556390977,0,0,21,ok
7,"(7, 10, 11, 14, 18, 20, 24)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.11571428571428571,0.1130952380952381,0.015037593984962405,0.3533834586466166,0.3814894378804154,0.3834586466165414,0,0,21,ok
7,"(1, 3, 4, 5, 10, 16, 19)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.09142857142857143,0.0988095238095238,0.018796992481203006,0.3571428571428571,0.3854278553526674,0.3759398496240602,0,0,21,ok
7,"(1, 3, 4, 11, 12, 15, 27)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.11428571428571428,0.125,0.05639097744360902,0.349624060150376,0.3804153240243465,0.3684210526315789,0,0,21,ok
7,"(2, 3, 6, 11, 13, 18, 26)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.16357142857142856,0.14166666666666666,0.07894736842105263,0.349624060150376,0.37844611528822053,0.37969924812030076,0,0,21,ok
7,"(7, 10, 15, 18, 19, 24, 26)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.14785714285714285,0.14523809523809525,0.09022556390977443,0.3458646616541353,0.3822055137844612,0.38345864661654133,0,0,21,ok
7,"(1, 2, 3, 14, 20, 25, 28)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.04428571428571428,0.04047619047619048,0.0,0.3609022556390978,0.3807733619763696,0.37969924812030076,0,0,21,ok
7,"(1, 8, 14, 17, 18, 21, 25)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.13,0.1523809523809524,0.10150375939849623,0.3721804511278196,0.38882921589688507,0.39473684210526316,0,0,21,ok
8,"(5, 7, 8, 10, 14, 15, 25, 27)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.14625,0.1625,0.05592105263157895,0.35855263157894735,0.3865131578947368,0.38815789473684204,0,0,20,ok
8,"(10, 14, 15, 16, 18, 22, 23, 25)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.151875,0.165625,0.06578947368421052,0.368421052631579,0.3894736842105263,0.39473684210526316,0,0,20,ok
8,"(5, 12, 13, 15, 16, 17, 18, 27)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.185,0.18020833333333333,0.023026315789473683,0.368421052631579,0.3960526315789473,0.39473684210526316,0,0,20,ok
8,"(1, 10, 12, 15, 16, 25, 27, 28)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.148125,0.14479166666666668,0.07236842105263158,0.36184210526315785,0.375328947368421,0.368421052631579,0,0,20,ok
8,"(5, 6, 7, 8, 10, 14, 23, 24)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.153125,0.175,0.05263157894736842,0.35855263157894735,0.3875,0.3848684210526315,0,0,20,ok
8,"(1, 5, 6, 10, 16, 18, 27, 28)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.139375,0.134375,0.0625,0.368421052631579,0.3819078947368421,0.38815789473684204,0,0,20,ok
8,"(1, 9, 10, 12, 13, 15, 16, 24)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.1375,0.153125,0.1118421052631579,0.34539473684210525,0.36644736842105263,0.3651315789473684,0,0,20,ok
8,"(2, 5, 10, 12, 16, 19, 22, 27)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.19125,0.19479166666666667,0.14802631578947367,0.36184210526315785,0.3924342105263158,0.39473684210526316,0,0,20,ok
8,"(2, 5, 19, 21, 22, 24, 26, 28)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.161875,0.18333333333333332,0.06907894736842106,0.3519736842105263,0.39111842105263156,0.39144736842105265,0,0,20,ok
